model,category,category_slug,category_description,name,summary,description,thumbnail_dir,thumbnail_images,detail_dir,detail_images,coupang_url,naver_url,tags,specs,palette
LT-001,캐릭터 무드등,character-mood-light,포근한 빛과 귀여운 캐릭터 감성으로 일상에 작은 휴식을 더하는 무드등 라인입니다.,말랑 뮤지컬 오리 무드등,포근한 빛으로 지친하루를 힐링!,상세페이지 이미지로 제공,assets/images/products/lt-001/thumbnail,assets/images/products/lt-001/thumbnail/thumbnail-01.jpg|assets/images/products/lt-001/thumbnail/thumbnail-02.jpg|assets/images/products/lt-001/thumbnail/thumbnail-03.jpg|assets/images/products/lt-001/thumbnail/thumbnail-04.jpg,assets/images/products/lt-001/detail,assets/images/products/lt-001/detail/detail-01.jpg|assets/images/products/lt-001/detail/detail-02.jpg|assets/images/products/lt-001/detail/detail-03.jpg|assets/images/products/lt-001/detail/detail-04.jpg|assets/images/products/lt-001/detail/detail-05.jpg|assets/images/products/lt-001/detail/detail-06.jpg|assets/images/products/lt-001/detail/detail-07.jpg|assets/images/products/lt-001/detail/detail-08.jpg|assets/images/products/lt-001/detail/detail-09.jpg|assets/images/products/lt-001/detail/detail-10.jpg|assets/images/products/lt-001/detail/detail-11.jpg|assets/images/products/lt-001/detail/detail-12.jpg|assets/images/products/lt-001/detail/detail-13.jpg|assets/images/products/lt-001/detail/detail-14.jpg,준비중,https://smartstore.naver.com/teamz/products/13654556700,character|mood light|duck,상세페이지 제공|썸네일 4장 제공|포근한 캐릭터 무드등|쿠팡 링크 준비중|네이버 스마트스토어 바로가기 제공,#f4d77b|#5f493d|#f1b51c
LT-002,캐릭터 무드등,character-mood-light,포근한 빛과 귀여운 캐릭터 감성으로 일상에 작은 휴식을 더하는 무드등 라인입니다.,말랑 축구공 무드등,포근한 빛으로 지친 하루를 힐링!,상세페이지 이미지로 제공,assets/images/products/lt-002/thumbnail,assets/images/products/lt-002/thumbnail/thumbnail-01.jpg|assets/images/products/lt-002/thumbnail/thumbnail-02.jpg|assets/images/products/lt-002/thumbnail/thumbnail-03.jpg|assets/images/products/lt-002/thumbnail/thumbnail-04.jpg|assets/images/products/lt-002/thumbnail/thumbnail-05.jpg|assets/images/products/lt-002/thumbnail/thumbnail-06.jpg,assets/images/products/lt-002/detail,assets/images/products/lt-002/detail/detail-01.jpg|assets/images/products/lt-002/detail/detail-02.jpg|assets/images/products/lt-002/detail/detail-03.jpg|assets/images/products/lt-002/detail/detail-04.jpg|assets/images/products/lt-002/detail/detail-05.jpg|assets/images/products/lt-002/detail/detail-06.jpg|assets/images/products/lt-002/detail/detail-07.jpg|assets/images/products/lt-002/detail/detail-08.jpg|assets/images/products/lt-002/detail/detail-09.jpg|assets/images/products/lt-002/detail/detail-10.jpg|assets/images/products/lt-002/detail/detail-11.jpg|assets/images/products/lt-002/detail/detail-12.jpg|assets/images/products/lt-002/detail/detail-13.jpg|assets/images/products/lt-002/detail/detail-14.jpg|assets/images/products/lt-002/detail/detail-15.jpg|assets/images/products/lt-002/detail/detail-16.jpg|assets/images/products/lt-002/detail/detail-17.jpg,준비중,https://smartstore.naver.com/teamz/products/13654665585,character|mood light|football,상세페이지 제공|썸네일 6장 제공|터치식 3단계 밝기 조절|30분 타이머|충전식 사용|네이버 스마트스토어 바로가기 제공,#5d8b49|#3a2b20|#f4ce58
LT-003,캐릭터 무드등,character-mood-light,포근한 빛과 귀여운 캐릭터 감성으로 일상에 작은 휴식을 더하는 무드등 라인입니다.,말랑 토끼 무드등,잠자리 곁을 부드럽게 밝혀주는 말랑한 토끼 무드등,U&I Big Face Rabbit Night Light 상세페이지 이미지로 제공,assets/images/products/lt-003/thumbnail,assets/images/products/lt-003/thumbnail/thumbnail-01.jpg|assets/images/products/lt-003/thumbnail/thumbnail-02.jpg|assets/images/products/lt-003/thumbnail/thumbnail-03.jpg|assets/images/products/lt-003/thumbnail/thumbnail-04.jpg|assets/images/products/lt-003/thumbnail/thumbnail-05.jpg|assets/images/products/lt-003/thumbnail/thumbnail-06.jpg|assets/images/products/lt-003/thumbnail/thumbnail-07.jpg,assets/images/products/lt-003/detail,assets/images/products/lt-003/detail/detail-01.jpg|assets/images/products/lt-003/detail/detail-02.jpg|assets/images/products/lt-003/detail/detail-03.jpg|assets/images/products/lt-003/detail/detail-04.jpg|assets/images/products/lt-003/detail/detail-05.jpg|assets/images/products/lt-003/detail/detail-06.jpg|assets/images/products/lt-003/detail/detail-07.jpg|assets/images/products/lt-003/detail/detail-08.jpg|assets/images/products/lt-003/detail/detail-09.jpg|assets/images/products/lt-003/detail/detail-10.jpg|assets/images/products/lt-003/detail/detail-11.jpg|assets/images/products/lt-003/detail/detail-12.jpg,준비중,준비중,character|mood light|rabbit|night light,상세페이지 제공|썸네일 7장 제공|오브제 연출컷 제공|쿠팡 링크 준비중|네이버 스마트스토어 링크 준비중,#f6c9b4|#9b5a37|#f07f73
LT-004,캐릭터 무드등,character-mood-light,포근한 빛과 귀여운 캐릭터 감성으로 일상에 작은 휴식을 더하는 무드등 라인입니다.,말랑 오리 무드등,동글동글한 오리 실루엣으로 공간을 포근하게 채우는 무드등,U&I 캐릭터 오리 무드등 상세페이지 이미지로 제공,assets/images/products/lt-004/thumbnail,assets/images/products/lt-004/thumbnail/thumbnail-01.jpg|assets/images/products/lt-004/thumbnail/thumbnail-02.jpg|assets/images/products/lt-004/thumbnail/thumbnail-03.jpg|assets/images/products/lt-004/thumbnail/thumbnail-04.jpg|assets/images/products/lt-004/thumbnail/thumbnail-05.jpg|assets/images/products/lt-004/thumbnail/thumbnail-06.jpg|assets/images/products/lt-004/thumbnail/thumbnail-07.jpg|assets/images/products/lt-004/thumbnail/thumbnail-08.jpg|assets/images/products/lt-004/thumbnail/thumbnail-09.jpg|assets/images/products/lt-004/thumbnail/thumbnail-10.jpg|assets/images/products/lt-004/thumbnail/thumbnail-11.jpg|assets/images/products/lt-004/thumbnail/thumbnail-12.jpg|assets/images/products/lt-004/thumbnail/thumbnail-13.jpg|assets/images/products/lt-004/thumbnail/thumbnail-14.jpg|assets/images/products/lt-004/thumbnail/thumbnail-15.jpg|assets/images/products/lt-004/thumbnail/thumbnail-16.jpg,assets/images/products/lt-004/detail,assets/images/products/lt-004/detail/detail-01.jpg|assets/images/products/lt-004/detail/detail-02.jpg|assets/images/products/lt-004/detail/detail-03.jpg|assets/images/products/lt-004/detail/detail-04.jpg|assets/images/products/lt-004/detail/detail-05.jpg|assets/images/products/lt-004/detail/detail-06.jpg|assets/images/products/lt-004/detail/detail-07.jpg|assets/images/products/lt-004/detail/detail-08.jpg|assets/images/products/lt-004/detail/detail-09.jpg|assets/images/products/lt-004/detail/detail-10.jpg|assets/images/products/lt-004/detail/detail-11.jpg|assets/images/products/lt-004/detail/detail-12.jpg|assets/images/products/lt-004/detail/detail-13.jpg,준비중,준비중,character|mood light|duck|night light,상세페이지 제공|썸네일 16장 제공|말랑한 캐릭터 무드등|쿠팡 링크 준비중|네이버 스마트스토어 링크 준비중,#ffd66f|#8a5b2c|#f5a623
LT-005,캐릭터 무드등,character-mood-light,포근한 빛과 귀여운 캐릭터 감성으로 일상에 작은 휴식을 더하는 무드등 라인입니다.,말랑 고양이 무드등,편안한 표정의 고양이 캐릭터가 은은한 빛을 더하는 무드등,U&I Sweet Cat Night Light 상세페이지 이미지로 제공,assets/images/products/lt-005/thumbnail,assets/images/products/lt-005/thumbnail/thumbnail-01.jpg|assets/images/products/lt-005/thumbnail/thumbnail-02.jpg|assets/images/products/lt-005/thumbnail/thumbnail-03.jpg|assets/images/products/lt-005/thumbnail/thumbnail-04.jpg|assets/images/products/lt-005/thumbnail/thumbnail-05.jpg|assets/images/products/lt-005/thumbnail/thumbnail-06.jpg|assets/images/products/lt-005/thumbnail/thumbnail-07.jpg|assets/images/products/lt-005/thumbnail/thumbnail-08.jpg,assets/images/products/lt-005/detail,assets/images/products/lt-005/detail/detail-01.jpg|assets/images/products/lt-005/detail/detail-02.jpg|assets/images/products/lt-005/detail/detail-03.jpg|assets/images/products/lt-005/detail/detail-04.jpg|assets/images/products/lt-005/detail/detail-05.jpg|assets/images/products/lt-005/detail/detail-06.jpg|assets/images/products/lt-005/detail/detail-07.jpg|assets/images/products/lt-005/detail/detail-08.jpg|assets/images/products/lt-005/detail/detail-09.jpg|assets/images/products/lt-005/detail/detail-10.jpg|assets/images/products/lt-005/detail/detail-11.jpg|assets/images/products/lt-005/detail/detail-12.jpg,준비중,준비중,character|mood light|cat|night light,상세페이지 제공|썸네일 8장 제공|오브제 연출컷 제공|쿠팡 링크 준비중|네이버 스마트스토어 링크 준비중,#f7dcc7|#8a5a3b|#f2b56b
LT-HL-001,생활용품,daily-goods,외출과 육아용품 정리를 더 편하게 만드는 루툰 생활용품 라인입니다.,유모차 컵홀더 3in1,컵 2개와 스마트폰까지 한 번에 정리하는 3in1 유모차 컵홀더,"9~35mm 조절 클램프와 360도 회전 구조로 유모차, 자전거, 킥보드 등 다양한 프레임에 장착할 수 있는 컵홀더입니다.",assets/images/products/LT-HL-001/thumbnail,assets/images/products/LT-HL-001/thumbnail/thumbnail-01.png|assets/images/products/LT-HL-001/thumbnail/thumbnail-02.png,assets/images/products/LT-HL-001/detail,assets/images/products/LT-HL-001/detail/detail-01.png|assets/images/products/LT-HL-001/detail/detail-02.png|assets/images/products/LT-HL-001/detail/detail-03.png|assets/images/products/LT-HL-001/detail/detail-04.png|assets/images/products/LT-HL-001/detail/detail-05.png|assets/images/products/LT-HL-001/detail/detail-07.png|assets/images/products/LT-HL-001/detail/detail-08.png|assets/images/products/LT-HL-001/detail/detail-09.png|assets/images/products/LT-HL-001/detail/detail-10.png,준비중,준비중,stroller|cup holder|daily goods|3in1,"브랜드명 루툰|색상 블랙, 핑크|옵션 3in1|사이즈 88mm x 19.5mm|컵 2개와 스마트폰 수납 가능|9~35mm 조절 클램프|360도 회전 방향 조절|TPE 보호패드로 스마트폰 스크래치 완화|쿠팡 링크 준비중|네이버 스마트스토어 링크 준비중",#caa06a|#171313|#e7b2aa
LT-ST-001,수납/정리용품,storage-organization,"이불, 의류, 여행짐을 깔끔하게 압축 보관하는 루툰 수납/정리용품 라인입니다.",압축팩 올인원,이불과 의류를 깔끔하게 압축 보관할 수 있는 120x100cm 올인원 압축팩,"도톰한 PA+PE 소재와 이중 밀봉, 밸브 마개 구조로 전동·수동펌프 모두 호환되는 수납 압축팩입니다.",assets/images/products/LT-ST-001/thumbnail,assets/images/products/LT-ST-001/thumbnail/thumbnail-01.png,assets/images/products/LT-ST-001/detail,assets/images/products/LT-ST-001/detail/detail-01.png|assets/images/products/LT-ST-001/detail/detail-02.png|assets/images/products/LT-ST-001/detail/detail-03.png|assets/images/products/LT-ST-001/detail/detail-04.png|assets/images/products/LT-ST-001/detail/detail-05.png|assets/images/products/LT-ST-001/detail/detail-06.png|assets/images/products/LT-ST-001/detail/detail-07.png|assets/images/products/LT-ST-001/detail/detail-08.png|assets/images/products/LT-ST-001/detail/detail-09.png|assets/images/products/LT-ST-001/detail/detail-10.png,준비중,준비중,storage|compression bag|organizing|travel,"브랜드명 루툰|색상 투명 바디 + 블루 밸브|옵션 120x100|사이즈 120cm x 100cm|도톰한 PA+PE 소재|이중 밀봉 + 밸브 마개|전동·수동펌프 호환|이불, 의류, 여행짐 보관에 적합|쿠팡 링크 준비중|네이버 스마트스토어 링크 준비중",#84b9e8|#f4f2ec|#2f8ccf
